strainName,TestNumber,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
C57BL/6J,11,13.234,7.658,8.205,8.213,8.864,8.299,7.543,6.534,8.235,8.029,6.093,6.374,4.87,5.333,5.125,4.476,4.401,4.611,4.32,3.872,3.716,3.903,5.398,3.553,3.648,4.66,4.335,5.257,2.643,2.726,2.937,2.908,2.29,2.828,4.572,3.883,2.668,3.316,2.782,2.982,2.466,2.836,2.078,2.469,2.948,3.349,2.871,2.035,2.714,3.221,2.635,2.903,2.229,2.47,2.688,2.731,2.406,2.168,1.846,5.809,14.797,5.848,6.337,5.44,6.058,6.282,5.093,5.186,4.817,5.623,5.628,3.948,3.919,2.285,1.595,2.277,1.553,2.472,3.17,2.66,3.131,3.333,3.224,1.869,2.297,1.765,1.424,1.028,2.121,2.222,1.215,1.246,1.768,2.083,1.703,1.617,2.114,2.9,2.463,2.026,2.51,2.194,2.388,2.198,1.912,1.659,1.462,1.89,2.539,2.245,1.921,1.623,1.447,1.507,1.68,1.189,1.729,1.852,1.8,1.133,1.978,2.36,2.629,3.865,3.863,2.849,3.372,4.309,2.253,0.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57BL/6J,12,14.858,9.792,9.227,9.333,9.214,9.479,8.466,7.758,8.022,6.304,7.044,7.008,6.809,7.187,6.399,5.243,6.088,5.951,5.452,6.401,4.965,4.873,3.444,4.273,5.547,4.963,4.289,5.648,5.774,5.265,4.88,3.791,3.377,3.884,4.88,5.521,2.729,3.955,5.105,4.693,4.502,4.757,3.445,2.99,2.962,2.628,3.871,4.404,3.204,2.11,2.373,2.096,2.116,3.307,4.454,4.302,3.782,3.63,3.211,6.225,19.268,15.953,21.717,22.427,23.172,21.544,20.77,18.226,15.129,15.426,11.998,11.618,11.754,11.005,10.509,11.057,9.487,9.968,9.15,7.902,7.25,8.132,6.177,5.055,5.586,6.799,6.91,5.83,5.256,5.484,5.665,6.538,6.234,5.907,6.381,6.36,6.984,6.038,5.385,5.561,4.615,4.813,3.639,3.742,3.946,4.413,2.94,2.628,2.69,2.91,3.606,2.61,2.477,3.69,2.652,2.676,1.414,2.062,1.854,2.041,2.443,2.926,3.503,1.954,2.182,2.635,3.027,2.837,2.464,1.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57BL/6J,13,2.76,9.271,8.675,8.66,9.276,9.225,7.976,7.102,7.333,6.926,5.87,5.509,6.175,6.027,5.173,6.454,5.728,6.418,5.79,5.595,4.07,5.817,5.72,5.814,5.191,5.122,4.782,4.706,4.798,6.331,5.108,5.808,6.246,5.614,6.114,5.739,6.178,4.778,4.531,5.063,5.294,4.826,5.5,4.646,5.66,4.625,5.27,5.87,5.634,4.17,3.213,3.369,3.225,5.182,3.475,4.611,6.555,6.188,5.567,10.651,14.812,15.744,18.91,20.058,21.699,21.655,19.834,17.526,14.464,15.189,16.473,17.353,16.497,14.919,12.864,12.82,13.989,12.492,12.03,11.984,10.607,9.469,8.645,8.115,8.65,9.234,9.491,9.436,8.744,9.531,7.73,7.263,6.899,5.876,5.504,5.236,6.309,7.049,7.665,7.04,6.57,6.504,5.775,4.644,3.457,4.092,5.54,5.458,4.653,5.036,5.222,5.142,4.87,4.637,5.532,4.798,3.672,5.127,4.957,5.905,4.272,4.178,4.624,5.021,3.419,3.472,2.56,3.583,3.573,1.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57BL/6NJ,1,4.848,5.126,5.585,5.48,5.081,5.323,5.627,5.73,5.183,4.34,5.646,5.222,5.376,5.209,5.242,4.585,4.424,4.758,5.63,5.493,5.317,4.793,3.735,4.843,4.063,4.751,5.273,4.71,4.042,4.419,4.921,4.677,3.679,4.768,5.502,4.508,4.661,4.226,4.457,4.848,4.502,4.568,4.478,4.889,5.714,6.267,6.513,6.73,6.427,6.438,6.238,5.893,5.437,5.3,3.353,4.971,5.487,5.932,5.454,6.506,11.695,6.437,3.714,3.422,3.638,3.347,3.776,4.388,4.141,4.784,4.084,4.147,3.293,3.38,3.554,2.979,2.964,3.243,3.503,3.434,2.76,3.322,3.085,3.713,3.939,3.685,2.79,2.656,3.153,2.666,2.46,3.312,3.847,2.886,4.326,4.776,4.517,4.157,4.395,3.79,3.902,3.823,3.447,2.203,2.199,2.541,3.144,3.557,2.97,1.914,2.047,2.356,2.354,3.316,3.696,4.12,4.187,4.017,3.75,3.448,3.047,3.159,3.27,3.506,4.221,4.399,3.994,1.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57BL/6NJ,2,6.176,6.193,6.316,5.853,5.646,6.532,6.188,5.365,5.488,5.69,4.955,3.983,5.123,4.23,4.853,5.081,5.505,5.032,5.343,4.967,4.887,3.221,4.463,4.32,4.267,3.733,4.013,5.011,4.659,5.59,6.548,7.165,7.272,7.046,6.315,5.666,5.538,4.935,4.114,4.382,3.837,3.699,3.217,4.247,3.559,4.395,5.013,4.679,5.326,4.977,5.491,4.206,5.551,6.649,6.344,5.921,5.378,5.781,4.049,5.226,12.057,4.247,3.421,3.892,3.272,3.092,3.716,3.93,3.238,2.247,2.262,2.47,2.579,1.916,2.542,2.695,2.475,3.458,2.874,2.353,2.116,2.37,2.096,1.783,2.401,2.512,2.826,3.573,3.152,3.832,4.09,4.001,4.597,4.59,3.987,3.812,3.529,3.061,3.54,3.359,2.634,2.629,1.638,1.459,1.076,1.77,1.949,1.973,2.002,2.143,2.695,2.802,2.217,2.396,2.037,2.256,2.523,3.206,4.246,3.433,3.118,3.382,3.74,4.958,3.905,2.611,1.861,0.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57BL/6NJ,3,7.108,7.032,7.231,7.013,6.558,6.821,7.126,7.032,6.65,6.634,6.048,6.916,6.204,6.326,6.164,4.195,3.674,3.72,3.766,3.888,4.387,5.285,4.321,3.867,3.836,3.218,3.497,2.366,2.444,3.404,3.403,2.891,3.534,3.624,2.856,3.145,3.748,3.487,4.069,4.872,4.378,3.806,2.327,2.667,2.891,2.757,2.866,2.255,3.075,3.126,4.362,3.986,2.618,4.52,6.321,4.292,5.39,5.623,5.849,6.309,12.761,7.149,2.751,3.258,4.542,4.968,4.466,3.525,3.52,3.15,3.056,2.957,3.083,2.862,2.972,2.837,3.08,3.254,1.789,1.93,1.979,1.9,1.443,1.932,2.09,1.967,2.102,2.353,2.36,2.457,3.693,4.109,4.362,4.054,3.387,3.79,3.839,3.976,3.865,4.168,3.833,3.361,3.031,1.983,1.778,0.851,1.239,1.504,2.239,2.586,2.052,1.907,2.558,2.527,2.75,1.258,1.734,1.739,1.75,1.65,1.945,2.593,3.677,3.731,4.146,3.771,3.688,0.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57BL/6NJ,4,6.797,7.853,7.358,7.311,7.466,6.761,6.753,6.033,7.313,5.982,5.478,5.511,6.302,4.684,5.682,4.733,5.569,5.958,6.004,5.545,5.528,6.155,5.89,6.688,5.421,6.126,6.042,5.307,4.443,5.313,4.546,5.877,6.731,6.504,5.462,5.223,4.724,5.54,6.151,6.08,6.044,7.484,6.052,6.507,5.407,5.62,4.96,4.692,3.441,3.289,4.142,3.564,4.735,4.575,5.422,5.309,6.437,4.884,4.364,8.403,11.994,4.681,5.045,5.318,4.839,4.692,3.632,4.535,3.795,3.708,3.783,3.875,4.515,4.726,4.121,3.563,3.86,5.636,4.816,5.089,5.064,3.634,2.321,3.501,2.884,3.042,3.105,2.117,2.116,2.146,2.02,2.181,2.733,2.649,2.857,2.168,2.075,1.923,2.774,3.411,3.51,3.276,2.559,2.959,2.776,3.924,2.804,2.427,2.641,2.419,3.515,4.297,4.321,3.679,2.542,3.42,3.356,2.314,1.793,2.267,2.431,2.868,3.214,2.62,4.176,3.921,1.829,1.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57BL/6NJ,5,8.924,8.479,9.393,8.401,7.335,7.308,6.751,5.791,6.516,6.879,5.877,4.982,4.599,5.339,5.378,4.245,3.977,4.184,4.587,5.667,5.31,4.685,4.022,4.636,4.339,3.532,4.935,5.06,4.372,4.057,3.775,3.402,3.825,3.219,3.309,3.497,3.564,4.309,3.485,2.999,3.31,2.223,3.863,3.244,3.137,3.156,2.648,2.36,1.561,1.648,2.113,3.335,3.635,3.745,3.685,4.28,4.583,5.229,5.216,8.309,16.959,3.933,2.693,3.296,3.566,4.254,4.961,5.316,5.674,6.522,6.142,6.692,5.495,4.071,4.479,4.082,4.421,3.536,2.71,3.204,3.162,4.229,5.797,4.794,4.233,3.982,4.084,2.968,2.852,3.766,3.285,4.708,5.381,5.783,5.141,5.406,5.657,5.609,4.803,3.444,3.823,3.276,3.387,3.211,3.152,3.405,2.939,2.951,4.328,5.091,4.364,3.92,3.257,2.804,1.914,2.382,2.328,2.635,3.873,5.419,5.255,5.167,5.291,5.136,4.433,3.551,3.39,2.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57BL/6NJ,6,7.582,7.914,7.985,7.877,6.425,7.728,7.469,5.846,6.763,6.458,5.057,5.562,4.925,6.578,6.647,5.064,5.309,5.016,5.238,5.51,5.308,4.526,4.787,5.011,4.487,3.089,4.268,5.21,6.059,4.143,5.312,4.518,4.003,4.022,5.072,5.306,5.414,5.761,5.17,4.537,4.508,2.831,4.598,4.243,4.82,4.486,4.48,4.99,6.244,4.566,3.927,3.249,2.798,3.399,3.721,4.756,3.499,4.106,3.516,3.982,16.365,8.197,7.492,8.62,9.732,9.481,7.829,8.488,8.931,9.32,8.788,9.619,8.978,8.074,8.245,7.388,7.385,7.843,6.733,6.89,7.433,5.478,5.977,6.484,6.447,7.02,7.266,7.688,7.812,6.916,6.799,5.393,6.218,6.106,7.124,4.572,3.897,3.415,4.117,5.362,5.045,4.675,4.239,4.999,2.589,2.566,5.3,6.106,5.042,4.966,3.932,4.89,4.272,4.357,4.669,5.798,4.914,5.921,5.137,6.152,3.324,3.954,4.225,4.75,3.751,4.357,4.93,3.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57BL/6NJ,7,9.047,8.497,8.62,8.433,6.259,6.412,7.074,7.155,7.4,6.172,6.591,6.011,5.987,6.093,4.492,4.498,3.96,4.087,5.411,5.512,5.336,4.965,5.034,5.276,4.788,4.761,4.656,4.992,6,6.255,6.645,5.619,4.59,5.026,4.957,4.883,4.25,3.391,3.412,4.26,4.408,3.212,3.23,3.342,3.483,3.928,4.498,4.983,5.224,4.886,4.756,5.004,3.53,4.902,4.272,3.292,4.233,5.674,4.508,6.695,11.565,12.973,11.266,13.501,12.865,12.272,10.525,11.777,10.719,11.552,10.081,8.16,8.032,8.209,9.316,9.251,9.019,7.457,7.756,6.767,3.612,4.061,4.206,5.766,5.733,6.47,5.324,4.755,4.469,4.412,4.06,4.461,4.609,4.344,5.001,5.219,5.616,4.593,4.068,3.764,4.338,4.762,4.031,4.341,4.771,4.932,4.873,3.41,4.675,5.498,4.215,4.41,4.83,3.119,2.792,3.256,3.266,3.259,3.847,4.244,3.763,3.41,2.632,2.356,2.035,3.358,3.849,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
